date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source,date_str,day_of_week,days_until_dep,is_direct,duration_h,month,week
2026-03-19,223.99,EUR,Royal Air Maroc,0,105,2026-03-19 17:55:00,2026-03-19 20:40:00,CMN,MAD,2026-03-13 16:18:43.647082,unified-search,260319,Thursday,6,1,1.75,3,12
2026-03-19,281.0,EUR,Royal Air Maroc,0,105,2026-03-19 15:20:00,2026-03-19 18:05:00,CMN,MAD,2026-03-13 16:18:43.647082,unified-search,260319,Thursday,6,1,1.75,3,12
2026-03-19,442.0,EUR,Royal Air Maroc,0,105,2026-03-19 12:45:00,2026-03-19 15:30:00,CMN,MAD,2026-03-13 16:18:43.647082,unified-search,260319,Thursday,6,1,1.75,3,12
2026-03-19,317.09,EUR,Iberia,0,105,2026-03-19 12:45:00,2026-03-19 15:30:00,CMN,MAD,2026-03-13 16:18:43.647082,unified-search,260319,Thursday,6,1,1.75,3,12
2026-03-19,306.97,EUR,Iberia,0,105,2026-03-19 15:20:00,2026-03-19 18:05:00,CMN,MAD,2026-03-13 16:18:43.647082,unified-search,260319,Thursday,6,1,1.75,3,12
2026-03-20,61.38,EUR,Iberia,0,105,2026-03-20 17:55:00,2026-03-20 20:40:00,CMN,MAD,2026-03-13 16:18:53.828847,unified-search,260320,Friday,7,1,1.75,3,12
2026-03-20,78.97,EUR,Iberia,0,105,2026-03-20 12:45:00,2026-03-20 15:30:00,CMN,MAD,2026-03-13 16:18:53.828847,unified-search,260320,Friday,7,1,1.75,3,12
2026-03-20,74.99,EUR,Air Arabia Maroc,0,105,2026-03-20 12:50:00,2026-03-20 15:35:00,CMN,MAD,2026-03-13 16:18:53.828847,unified-search,260320,Friday,7,1,1.75,3,12
2026-03-20,81.0,EUR,Vueling Airlines,0,105,2026-03-20 17:55:00,2026-03-20 20:40:00,CMN,MAD,2026-03-13 16:18:53.828847,unified-search,260320,Friday,7,1,1.75,3,12
2026-03-20,147.0,EUR,Royal Air Maroc,0,105,2026-03-20 15:20:00,2026-03-20 18:05:00,CMN,MAD,2026-03-13 16:18:53.828847,unified-search,260320,Friday,7,1,1.75,3,12
2026-03-20,143.0,EUR,Iberia,0,105,2026-03-20 15:20:00,2026-03-20 18:05:00,CMN,MAD,2026-03-13 16:18:53.828847,unified-search,260320,Friday,7,1,1.75,3,12
2026-03-20,200.0,EUR,Royal Air Maroc,0,105,2026-03-20 09:15:00,2026-03-20 12:00:00,CMN,MAD,2026-03-13 16:18:53.828847,unified-search,260320,Friday,7,1,1.75,3,12
2026-03-20,207.0,EUR,Royal Air Maroc,0,105,2026-03-20 12:45:00,2026-03-20 15:30:00,CMN,MAD,2026-03-13 16:18:53.828847,unified-search,260320,Friday,7,1,1.75,3,12
2026-03-20,193.99,EUR,Royal Air Maroc,0,105,2026-03-20 17:55:00,2026-03-20 20:40:00,CMN,MAD,2026-03-13 16:18:53.828847,unified-search,260320,Friday,7,1,1.75,3,12
2026-03-20,102.0,EUR,Vueling Airlines,0,105,2026-03-20 12:45:00,2026-03-20 15:30:00,CMN,MAD,2026-03-13 16:18:53.828847,unified-search,260320,Friday,7,1,1.75,3,12
2026-03-21,99.97,EUR,Iberia,0,105,2026-03-21 12:45:00,2026-03-21 15:30:00,CMN,MAD,2026-03-13 16:19:05.400936,unified-search,260321,Saturday,8,1,1.75,3,12
2026-03-21,146.99,EUR,Royal Air Maroc,0,105,2026-03-21 15:20:00,2026-03-21 18:05:00,CMN,MAD,2026-03-13 16:19:05.400936,unified-search,260321,Saturday,8,1,1.75,3,12
2026-03-21,146.99,EUR,Royal Air Maroc,0,105,2026-03-21 09:15:00,2026-03-21 12:00:00,CMN,MAD,2026-03-13 16:19:05.400936,unified-search,260321,Saturday,8,1,1.75,3,12
2026-03-21,100.0,EUR,Vueling Airlines,0,105,2026-03-21 12:45:00,2026-03-21 15:30:00,CMN,MAD,2026-03-13 16:19:05.400936,unified-search,260321,Saturday,8,1,1.75,3,12
