date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source
260318,169.0,EUR,Royal Air Maroc,0,105,2026-03-18T15:20:00,2026-03-18T18:05:00,CMN,MAD,2026-03-13T16:18:32.286107,unified-search
260318,81.0,EUR,Vueling Airlines,0,105,2026-03-18T12:45:00,2026-03-18T15:30:00,CMN,MAD,2026-03-13T16:18:32.286107,unified-search
260318,162.0,EUR,Iberia,0,105,2026-03-18T15:20:00,2026-03-18T18:05:00,CMN,MAD,2026-03-13T16:18:32.286107,unified-search
260318,127.0,EUR,Iberia,0,105,2026-03-18T09:15:00,2026-03-18T12:00:00,CMN,MAD,2026-03-13T16:18:32.286107,unified-search
260318,223.99,EUR,Royal Air Maroc,0,105,2026-03-18T12:45:00,2026-03-18T15:30:00,CMN,MAD,2026-03-13T16:18:32.286107,unified-search
260318,724.97,EUR,Qatar Airways,0,105,2026-03-18T12:45:00,2026-03-18T15:30:00,CMN,MAD,2026-03-13T16:18:32.286107,unified-search
260318,156.8,EUR,Pegasus Airlines,1,635,2026-03-18T00:10:00,2026-03-18T11:45:00,CMN,MAD,2026-03-13T16:18:32.286107,unified-search
260318,106.0,EUR,TAP Air Portugal,1,670,2026-03-18T11:20:00,2026-03-18T23:30:00,CMN,MAD,2026-03-13T16:18:32.286107,unified-search
260319,77.92,EUR,Air Arabia Maroc,0,105,2026-03-19T14:20:00,2026-03-19T17:05:00,CMN,MAD,2026-03-13T16:18:43.647082,unified-search
260319,99.0,EUR,Iberia,0,105,2026-03-19T17:55:00,2026-03-19T20:40:00,CMN,MAD,2026-03-13T16:18:43.647082,unified-search
260319,102.0,EUR,Vueling Airlines,0,105,2026-03-19T17:55:00,2026-03-19T20:40:00,CMN,MAD,2026-03-13T16:18:43.647082,unified-search
260319,197.0,EUR,Royal Air Maroc,0,105,2026-03-19T09:15:00,2026-03-19T12:00:00,CMN,MAD,2026-03-13T16:18:43.647082,unified-search
260319,215.97,EUR,Iberia,0,105,2026-03-19T09:15:00,2026-03-19T12:00:00,CMN,MAD,2026-03-13T16:18:43.647082,unified-search
260319,223.99,EUR,Royal Air Maroc,0,105,2026-03-19T17:55:00,2026-03-19T20:40:00,CMN,MAD,2026-03-13T16:18:43.647082,unified-search
260319,281.0,EUR,Royal Air Maroc,0,105,2026-03-19T15:20:00,2026-03-19T18:05:00,CMN,MAD,2026-03-13T16:18:43.647082,unified-search
260319,442.0,EUR,Royal Air Maroc,0,105,2026-03-19T12:45:00,2026-03-19T15:30:00,CMN,MAD,2026-03-13T16:18:43.647082,unified-search
260319,317.09,EUR,Iberia,0,105,2026-03-19T12:45:00,2026-03-19T15:30:00,CMN,MAD,2026-03-13T16:18:43.647082,unified-search
260319,306.97,EUR,Iberia,0,105,2026-03-19T15:20:00,2026-03-19T18:05:00,CMN,MAD,2026-03-13T16:18:43.647082,unified-search
260320,61.38,EUR,Iberia,0,105,2026-03-20T17:55:00,2026-03-20T20:40:00,CMN,MAD,2026-03-13T16:18:53.828847,unified-search
260320,78.97,EUR,Iberia,0,105,2026-03-20T12:45:00,2026-03-20T15:30:00,CMN,MAD,2026-03-13T16:18:53.828847,unified-search
260320,74.99,EUR,Air Arabia Maroc,0,105,2026-03-20T12:50:00,2026-03-20T15:35:00,CMN,MAD,2026-03-13T16:18:53.828847,unified-search
